id,title,description,"item group id",link,"product type","google product category","image link",condition,availability,price,mpn,brand
" 4125 "," Amasai Mango Peach (6 pack, 16 oz. each) "," Amasai Mango Peach embodies health and flavor in a true, whole milk, and GreenFed dairy beverage. Every sip you take pays homage to our Olde World cows—and the ancient culturing methods their milk benefits from. With over 30 probiotics and blended with organic mango and peaches, Amasai Mango Peach is an undeniably nutritious, refined, cultured sensation that will bolster your health and awaken your passion for dairy. Ingredients: Vitamin A, calcium, pasteurized cultured organic whole milk, organic cane sugar, organic mangos, organic peaches, organic bananas, organic vanilla, probiotic cultures. Made with grade A milk, no thickeners or stabilizers, no artificial colors or flavors. "," 4125 "," https://www.young90health.com/shop/amasai-mango-peach-6-pack-16-oz-each/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/05/18302_USBY0079_420p_1.jpg "," New "," in stock "," 42.00 USD"," USBY0079 "," Youngevity "
" 4123 "," Amasai Variety Pack (6 Pack) "," Beyond Organic introduces Amasai—a delicious, highly digestible and cultured dairy beverage inspired by Africa's Masai tribe. Cultured with over 30 probiotics and with flavors that include organic raspberries, mangos and peaches, Amasai provides a unique profile of true, whole milk nutrients created through ancient dairy breeding, organic green grazing and Olde World culturing and production methods. Includes: 2 Plain, 2 Mango Peach, and 2 Raspberry. "," 4123 "," https://www.young90health.com/shop/amasai-variety-pack-6-pack/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/05/0006452_amasai-variety-pack-6-pack_300.jpeg "," New "," in stock "," 42.00 USD"," USBY0004 "," Youngevity "
" 4121 "," AMASAI Raspberry (6 pack, 16 oz. each) "," Amasai Raspberry embodies health and flavor in a true, whole milk, and GreenFed dairy beverage. Every sip you take pays homage to our Olde World cows—and the ancient culturing methods their milk benefits from. With over 30 probiotics and blended with organic raspberries, Amasai Raspberry is an undeniably nutritious, refined, cultured sensation that will bolster your health and awaken your passion for dairy.

Ingredients:

Vitamin A, Calcium, Pasteurized Cultured organic while milk, organic cane sugar, organic raspberries, organic vanilla. Probiotic cultures, made with grade A milk, no thickeners or stabilizers, no artificial colors or flavors. "," 4121 "," https://www.young90health.com/shop/amasai-raspberry-6-pack-16-oz-each/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/05/0003053_amasai-raspberry-6-pack-16-oz-each_300.jpeg "," New "," in stock "," 44.00 USD"," USBY0003 "," Youngevity "
" 4119 "," AMASAI Plain (6 pack, 16 oz. each) "," Amasai Plain embodies health and flavor in a true, whole milk, and GreenFed dairy beverage. Every sip you take pays homage to our Olde World cows—and the ancient culturing methods their milk benefits from. With over 30 probiotics, Amasai is an undeniably nutritious, refined, cultured sensation that will bolster your health and awaken your passion for dairy.

Ingredients:

Vitamin A, Calcium, Pasteurized cultured organic while milk, probiotic cultures. Made with grade A milk, Keep Refrigerated, no thickens or stabilizers, no artificial colors or flavors. "," 4119 "," https://www.young90health.com/shop/amasai-plain-6-pack-16-oz-each/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/05/0003051_amasai-plain-6-pack-16-oz-each_300.jpeg "," New "," in stock "," 42.00 USD"," USBY0001 "," Youngevity "
" 4117 "," Amasai and SueroGold Pack 1 "," This package is great for the serious health enthusiast looking for the ultimate in SueroViv and Amasai. Experience the power of Plain Amasai and SueroGold. Get an influx of probiotics!  Pack contains 12 each of  AMASAI Plain (1 bottle, 16 oz.) and  SueroGold (1 bottle, 16 oz.). "," 4117 "," https://www.young90health.com/shop/amasai-and-suerogold-pack-1/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/05/0003181_amasai-and-suerogold-pack-1_300.jpeg "," New "," in stock "," 140.00 USD"," USBY0064 "," Youngevity "
" 3879 "," Ultimate Vision Fx™ - 60 capsules "," Ultimate Vision Fx™ is formulated to support healthy eye function. It features a proprietary blend of Vitamin A (as beta carotene), Vitamin C, Vitamin E, Zinc, Selenium, Chromium, Lutein, and Co-enzyme Q10. For best results, use Ultimate Vision Fx™ as part of a full nutritional program that also includes Ultimate Classic® and Ultimate EFA™. DIRECTIONS: Take two capsules daily or as directed by your healthcare practitioner. WARNING: If you are pregnant, nursing or taking medications, seek the advice of your healthcare professional before taking this product. KEEP OUT OF REACH OF CHILDREN. "," 3879 "," https://www.young90health.com/shop/ultimate-vision-fx-60-capsules/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/04/1593_21202-Ult-Vision-Fx_420p_1.jpg "," New "," in stock "," 42.25 USD"," 21202 "," Youngevity "
" 2785 "," Ultimate Daily Classic™ - 90 tablets "," Ultimate Daily Classic™ provides you essential vitamins and minerals needed daily for a solid foundation. This formula also includes antioxidant-rich botanicals such as Ginkgo Leaf, Bilberry Fruit and Hawthorn Berry that that have been known to support healthy brain function, cardiovascular health, combat infections. Additionally, Ultimate Daily Classic™ contains Chondroitin Sulfate to support healthy bones and joints.*

Ultimate Daily Classic™ tablets come in an advanced protective glass container for maximum standardized quality, freshness and safety.

Ingredients:
Vitamin A, Vitamin C, Vitamin D3, Vitamin E, Thiamin, Riboflavin, Niacin, Vitamin B6, Folate, Vitamin B-12, Biotin, Pantothenic Acid, Calcium, Iron, Iodine, Magnesium, Zinc, Selenium, Copper, Manganese, Chromium, Potassium, K-Cysteine, DL-Methionine, Para-aminobenzoic Acid, Inositol, Chondroitin Sulfate, Dimethylglycine, Thymus Gland Powder, Ginkgo Leaf, L-Carnitine, Bilberry Fruit, Co-enzyme Q-10, Hawthorn Berry, Microcrystalline cellulose, plant cellulose, stearic acid, magnesium stearate, silica and pharmaceutical glaze. "," 2785 "," https://www.young90health.com/shop/ultimate-daily-classic-90-tablets/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/01/0005713_ultimate-daily-classic-90-tablets_300.jpeg "," New "," in stock "," 42.00 USD"," USYG100084 "," Youngevity "
" 2783 "," Synaptiv™ - 60 Bi-Layered Tablets "," Through an advanced bi-layered tablet, Synaptiv™ is able to provide instant mental clarity and decreased stress levels while also providing extended support to help combat free-radicals for optimal brain health. This scientifically developed formula satisfies both immediate needs and long-term brain health requirements.*

• Provides scientifically measurable neuronal-stress-combating activity.*
• Supports mental focus by helping reduce anxiety levels.*
• Promotes optimal signal strength of neurotransmitters in the brain.*
• Supports enhanced cognitive activity.*
• Supports healthy memory and cognitive function.*

Ingredients:
Vitamin C, Thiamin, Niacin, Folic Acid, Vitamin B12, Pantothenic Acid, Zinc, Blueness Brand Lemon Balm Extract, Huperzine-A, Inositol, Choline, Youngevity Full Spectrum Antioxidant Blend, Synaptiv Complex, Vegetable Cellulose, Microcrystalline Cellulose, Silica, Magnesium Stearate, Amla, Guava, Holy Basil, Lemon, Brown Rice, Curry Leaf Extract and Water. "," 2783 "," https://www.young90health.com/shop/synaptiv-60-bi-layered-tablets/ "," Vitamins and Minerals "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2016/01/0005077_synaptiv-60-bi-layered-tablets_300.jpeg "," New "," in stock "," 68.00 USD"," USYG100083 "," Youngevity "
" 1912 "," Ultimate™ King Calcium™ - 90 chewable tablets "," Ultimate™ King Calcium™ provides important support for supporting healthy bones teeth cardiovascular health hormone balance and digestive health.* Store in a cool dry place. WARNING: If you are pregnant nursing or taking medications seek the advice of your healthcare professional before using this product. KEEP OUT OF THE REACH OF CHILDREN.

Ingredients:

Vitamin D, Vitamin K, Calcium, Magnesium, Zinc, Selenium, Boron, Sorbitol, fructose, raspberry flavors, stearic acid, magnesium stearate, silicon dioxide. "," 1912 "," https://www.young90health.com/shop/ultimate-king-calcium-90-chewable-tablets/ "," Sports and Energy "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2015/10/0003776_ultimate-king-calcium-90-chewable-tablets_300.jpeg "," New "," in stock "," 35.50 USD"," 67504 "," Youngevity "
" 1082 "," GI Purify™ Essential Oil Blend – 10ml "," This blend is used to purify, detoxify, and strengthen the digestive system. For sufferers from digestive issues, GI Purify™ can be used without the risks and side effects, especially respiratory complications, which result from the use of antacids or other gastrointestinal medications. It both helps relieve discomfort and eliminates root problems relating to digestion while helping stimulate healing and long-term wellness. It can quickly ease symptoms of stomach cramps, nausea, and the effects of food poisoning. It can also aid in the absorption of essential nutrients by slowing down the digestive process.

&nbsp;

Safety Note: Not recommended for children under 3 years. Not recommended for individuals with high blood pressure. "," 1082 "," https://www.young90health.com/shop/gi-purify-essential-oil-blend-10ml/ "," Essential Oils "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2015/07/gi-purify-essential-oil-blend-10ml_300.jpeg "," New "," in stock "," 32.50 USD"," 67021 "," Youngevity "
" 986 "," Frankincense & Lavender Essential Oil Blend – 10ml "," This blend stimulates healing, helps reduce scar tissue formation, and is excellent for emotional support when dealing with anxiety, trauma, depression, and grief. It is also used it for its anti-aging properties.

&nbsp;

Safety Note:  Non-toxic and non-irritating; safe for all ages. "," 986 "," https://www.young90health.com/shop/frankincense-lavender-essential-oil-blend-10ml/ "," Essential Oils "," Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements "," https://www.young90health.com/assets/uploads/2015/07/frankincense-lavender-essential-oil-blend-10ml_300.jpeg "," New "," in stock "," 45.99 USD"," 67020 "," Youngevity "
